    34 18250
   -0.199352E+00   -0.134119E+02   -0.570203E+01   -0.132324E+01
   -0.202702E+00   -0.134119E+02   -0.570203E+01   -0.756323E+00
   -0.204633E+00   -0.134119E+02   -0.570203E+01   -0.189405E+00
   -0.204942E+00   -0.134119E+02   -0.570203E+01    0.377512E+00
   -0.203590E+00   -0.134119E+02   -0.570203E+01    0.944430E+00
   -0.200711E+00   -0.134119E+02   -0.570203E+01    0.151135E+01
   -0.196580E+00   -0.134119E+02   -0.570203E+01    0.207827E+01
   -0.191542E+00   -0.134119E+02   -0.570203E+01    0.264518E+01
   -0.197581E+00   -0.134119E+02   -0.513512E+01   -0.245708E+01
   -0.203702E+00   -0.134119E+02   -0.513512E+01   -0.189016E+01
   -0.209026E+00   -0.134119E+02   -0.513512E+01   -0.132324E+01
   -0.213089E+00   -0.134119E+02   -0.513512E+01   -0.756323E+00
   -0.215464E+00   -0.134119E+02   -0.513512E+01   -0.189405E+00
   -0.215874E+00   -0.134119E+02   -0.513512E+01    0.377512E+00
   -0.214260E+00   -0.134119E+02   -0.513512E+01    0.944430E+00
   -0.210805E+00   -0.134119E+02   -0.513512E+01    0.151135E+01
   -0.205878E+00   -0.134119E+02   -0.513512E+01    0.207827E+01
   -0.199942E+00   -0.134119E+02   -0.513512E+01    0.264518E+01
   -0.197673E+00   -0.134119E+02   -0.456820E+01   -0.302399E+01
   -0.205038E+00   -0.134119E+02   -0.456820E+01   -0.245708E+01
   -0.212083E+00   -0.134119E+02   -0.456820E+01   -0.189016E+01
   -0.218314E+00   -0.134119E+02   -0.456820E+01   -0.132324E+01
   -0.223139E+00   -0.134119E+02   -0.456820E+01   -0.756323E+00
   -0.226002E+00   -0.134119E+02   -0.456820E+01   -0.189405E+00
   -0.226538E+00   -0.134119E+02   -0.456820E+01    0.377512E+00
   -0.224666E+00   -0.134119E+02   -0.456820E+01    0.944430E+00
   -0.220616E+00   -0.134119E+02   -0.456820E+01    0.151135E+01
   -0.214872E+00   -0.134119E+02   -0.456820E+01    0.207827E+01
   -0.208027E+00   -0.134119E+02   -0.456820E+01    0.264518E+01
   -0.200631E+00   -0.134119E+02   -0.456820E+01    0.321210E+01
   -0.203509E+00   -0.134119E+02   -0.400128E+01   -0.302399E+01
   -0.211604E+00   -0.134119E+02   -0.400128E+01   -0.245708E+01
   -0.219463E+00   -0.134119E+02   -0.400128E+01   -0.189016E+01
   -0.226520E+00   -0.134119E+02   -0.400128E+01   -0.132324E+01
   -0.232062E+00   -0.134119E+02   -0.400128E+01   -0.756323E+00
   -0.235406E+00   -0.134119E+02   -0.400128E+01   -0.189405E+00
   -0.236092E+00   -0.134119E+02   -0.400128E+01    0.377512E+00
   -0.234015E+00   -0.134119E+02   -0.400128E+01    0.944430E+00
   -0.229452E+00   -0.134119E+02   -0.400128E+01    0.151135E+01
   -0.222992E+00   -0.134119E+02   -0.400128E+01    0.207827E+01
   -0.215354E+00   -0.134119E+02   -0.400128E+01    0.264518E+01
   -0.207186E+00   -0.134119E+02   -0.400128E+01    0.321210E+01
   -0.198948E+00   -0.134119E+02   -0.400128E+01    0.377902E+01
   -0.208239E+00   -0.134119E+02   -0.343436E+01   -0.302399E+01
   -0.216803E+00   -0.134119E+02   -0.343436E+01   -0.245708E+01
   -0.225207E+00   -0.134119E+02   -0.343436E+01   -0.189016E+01
   -0.232849E+00   -0.134119E+02   -0.343436E+01   -0.132324E+01
   -0.238932E+00   -0.134119E+02   -0.343436E+01   -0.756323E+00
   -0.242673E+00   -0.134119E+02   -0.343436E+01   -0.189405E+00
   -0.243533E+00   -0.134119E+02   -0.343436E+01    0.377512E+00
   -0.241379E+00   -0.134119E+02   -0.343436E+01    0.944430E+00
   -0.236519E+00   -0.134119E+02   -0.343436E+01    0.151135E+01
   -0.229617E+00   -0.134119E+02   -0.343436E+01    0.207827E+01
   -0.221475E+00   -0.134119E+02   -0.343436E+01    0.264518E+01
   -0.212800E+00   -0.134119E+02   -0.343436E+01    0.321210E+01
   -0.204075E+00   -0.134119E+02   -0.343436E+01    0.377902E+01
